DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,BIOGAS,99,THLF,WORLD,ALL,ALL,2013,974,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,BIOMASSES,99,THLF,WORLD,ALL,ALL,2013,1269,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,HYDROEN,99,THLF,WORLD,ALL,ALL,2013,418,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,HYDROEN,99,THLF,WORLD,ALL,ALL,2016,476,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,OTHREN,99,THLF,WORLD,ALL,ALL,2013,423,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,OTHREN,99,THLF,WORLD,ALL,ALL,2016,379,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,SOLAR,99,THLF,WORLD,ALL,ALL,2013,27542,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,SOLAR,99,THLF,WORLD,ALL,ALL,2016,42293,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,WIND,99,THLF,WORLD,ALL,ALL,2013,168,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_10(1.0),A,IT,HO_RENENERG,TOT,TOT,ALL,TOT,ALL,ALL,ALL,WIND,99,THLF,WORLD,ALL,ALL,2016,598,,,,,,,,,,,,,,,,,,,,,
